TELERIDE_NUMBER,STOP_NAME,STATUS,CREATE_DT_UTC,MOD_DT_UTC,GLOBALID,POINT
7810,EB Laguna WY @ Catalina BV NE,INACTIVE,2024/09/29,2024/09/29,7a7076a5-606c-4774-8de5-e978c00d3b23,POINT (-113.9307033 51.0839115)
6790,WB 17 AV SW @ Costello BV,ACTIVE,2024/09/29,2024/09/29,43353aa7-b3c5-4066-835f-e85d398e51d7,POINT (-114.1709736 51.0374485)
5018,NB Bowness RD @ 43 ST NW,INACTIVE,2024/09/29,2024/09/29,b5e37253-4d3a-4234-846c-34012f90bc5b,POINT (-114.1560484 51.0693861)
9166,SB Lake Bonavista DR @ Lake Louise WY SE,ACTIVE,2024/09/29,2024/09/29,13e0b3e0-22b3-433d-96ac-05a0e920b39b,POINT (-114.0478755 50.943507)
5886,WB 14 AV SE @ 27 ST SE,ACTIVE,2024/09/29,2024/09/29,509c5c20-0f07-4653-ad4b-31ad039a5276,POINT (-113.9961222 51.0405473)
7904,EB 44 AV NE @ Whiterige WY,ACTIVE,2024/09/29,2024/09/29,f18d29fe-11ec-4e77-8ce4-bfc366b3cee0,POINT (-113.9687788 51.0923987)
8868,Martindale LRT Station NB (Martindale BV),ACTIVE,2024/09/29,2024/09/29,ee452aca-d875-4f6b-acaf-83ad7820807c,POINT (-113.9677296 51.1178048)
5076,SB 19 ST SE @ 17 AV SE,INACTIVE,2024/09/29,2024/09/29,2ab5d585-aba4-4c3d-bd3e-128981d871ca,POINT (-114.0183414 51.0369251)
4675,SB 17 ST SE @ 24 AV SE,ACTIVE,2024/09/29,2024/09/29,a94204e7-e608-461f-b282-4258631a0da5,POINT (-114.0192115 51.0315953)
8969,NB 10 ST NW @ 20 AV NW,ACTIVE,2024/09/29,2024/09/29,636039a0-f925-4ba8-b968-c8389fa3ffe0,POINT (-114.0846969 51.0709551)
5260,NB 4 ST NE @ McKnight BV,ACTIVE,2024/09/29,2024/09/29,b1a20d93-01ae-43cb-b659-ef898d1f92d1,POINT (-114.053755 51.0966236)
6173,EB Southland DR @ Southport RD SW,ACTIVE,2024/09/29,2024/09/29,64c8cf17-34a5-4fff-918b-9ec82287194e,POINT (-114.0737846 50.9649074)
7934,WB 17 AV SW @ 8 ST SW,ACTIVE,2024/09/29,2024/09/29,e2e5ad51-4788-4176-bd61-291df25423c0,POINT (-114.0822936 51.0379019)
5703,Centre Street N Station (EB),ACTIVE,2024/09/29,2024/09/29,aa73e442-2d4d-46f9-a897-0a9766614565,POINT (-114.0615687 51.0667371)
2453,NB Seton WY @ Seton AV SE,ACTIVE,2024/09/29,2024/09/29,b5bb9ecb-1e23-4413-a4b5-aaeb4ba137ba,POINT (-113.9562379 50.8723794)
4880,SB 4 ST NW @ Thornhill PL,ACTIVE,2024/09/29,2024/09/29,0e92ae6d-7fe0-4b0e-a18b-d65c1b60e27e,POINT (-114.0716968 51.0972996)
2603,WB Symons Valy Pkwy (128 Ave) @ Symons Valy Rd NW,ACTIVE,2024/09/29,2024/09/29,6bc6129f-5faf-488f-9c29-1bfcfcdf1b43,POINT (-114.1334722 51.1681942)
7598,WB 40 AV NW @ Harvard ST,ACTIVE,2024/09/29,2024/09/29,a2b2c2d8-6c13-4530-882b-c4f6eda604d6,POINT (-114.0827284 51.0888506)
3388,9th Avenue SE Station (WB),ACTIVE,2024/09/29,2024/09/29,0f65cfde-be72-49a3-b687-997b5e92f109,POINT (-114.021302 51.0366975)
6155,WB Abbeydale DR @ Abbotsford DR NE,ACTIVE,2024/09/29,2024/09/29,a4ab8410-b8ad-4c81-9e03-cd320108a57b,POINT (-113.9279661 51.0612169)
4531,SB Lynnview RD @ Lynnview CO SE,INACTIVE,2024/09/29,2024/09/29,2b5b801d-26c7-43b0-9d92-e6a481c0ed4a,POINT (-114.0209746 50.9998879)
9018,NB 4 ST NE @ Hunterhorn GA,ACTIVE,2024/09/29,2024/09/29,fe0ef3e8-d118-4e8c-9258-08b87b1211fc,POINT (-114.0524194 51.1164865)
3904,EB Quarry Park BV @ 18 ST SE,ACTIVE,2024/09/29,2024/09/29,2714b2a7-efaf-4eb2-be32-ff2c9e721b26,POINT (-114.0104866 50.9633157)
